name	year_span	population	id
Philippines	2000 - 2005	6.00	PHL
Brazil	2000 - 2005	5.90	BRA
Guatemala	2000 - 2005	5.90	GTM
Samoa	2000 - 2005	5.90	WSM
Taiwan	2000 - 2005	5.90	TWN
Albania	2000 - 2005	5.80	ALB
Israel	2000 - 2005	5.80	ISR
Belize	2000 - 2005	5.70	BLZ
Tunisia	2000 - 2005	5.70	TUN
Vanuatu	2000 - 2005	5.70	VUT
Colombia	2000 - 2005	5.60	COL
Iraq	2000 - 2005	5.60	IRQ
Paraguay	2000 - 2005	5.60	PRY
Peru	2000 - 2005	5.60	PER
Bahamas	2000 - 2005	5.50	BHS
Cape Verde	2000 - 2005	5.50	CPV
Vietnam	2000 - 2005	5.50	VNM
Chile	2000 - 2005	5.30	CHL
South Korea	2000 - 2005	5.30	KOR
Ecuador	2000 - 2005	5.20	ECU
Lebanon	2000 - 2005	5.20	LBN
Honduras	2000 - 2005	5.10	HND
Iran	2000 - 2005	5.10	IRN
Nicaragua	2000 - 2005	5.10	NIC
Venezuela	2000 - 2005	5.00	VEN
Algeria	2000 - 2005	4.90	DZA
Libya	2000 - 2005	4.80	LBY
Panama	2000 - 2005	4.80	PAN
Guam	2000 - 2005	4.60	GUM
Mexico	2000 - 2005	4.60	MEX
Singapore	2000 - 2005	4.50	SGP
Malaysia	2000 - 2005	4.40	MYS
Costa Rica	2000 - 2005	4.10	CRI
Maldives	2000 - 2005	4.10	MDV
Jordan	2000 - 2005	4.00	JOR
Saudi Arabia	2000 - 2005	3.60	SAU
Syria	2000 - 2005	3.60	SYR
Oman	2000 - 2005	3.30	OMN
Brunei	2000 - 2005	2.80	BRN
Bahrain	2000 - 2005	2.70	BHR
Kuwait	2000 - 2005	2.50	KWT
Qatar	2000 - 2005	1.90	QAT
United Arab Emirates	2000 - 2005	1.80	ARE
